NODE 1  	COORD	0.0000000000000000e+00	0.0000000000000000e+00	0.0000000000000000e+00
NODE 2  	COORD	0.0000000000000000e+00	1.0000000000000009e-02	0.0000000000000000e+00
NODE 3  	COORD	1.0000000000000000e-02	1.0000000000000011e-02	0.0000000000000000e+00
NODE 4  	COORD	1.0000000000000000e-02	0.0000000000000000e+00	0.0000000000000000e+00
NODE 5  	COORD	0.0000000000000000e+00	2.0000000000000018e-02	0.0000000000000000e+00
NODE 6  	COORD	1.0000000000000000e-02	2.0000000000000021e-02	0.0000000000000000e+00
NODE 7  	COORD	0.0000000000000000e+00	3.0000000000000027e-02	0.0000000000000000e+00
NODE 8  	COORD	1.0000000000000000e-02	3.0000000000000027e-02	0.0000000000000000e+00
NODE 9  	COORD	0.0000000000000000e+00	4.0000000000000036e-02	0.0000000000000000e+00
NODE 10  	COORD	1.0000000000000000e-02	4.0000000000000042e-02	0.0000000000000000e+00
NODE 11  	COORD	0.0000000000000000e+00	4.9999999999999933e-02	0.0000000000000000e+00
NODE 12  	COORD	1.0000000000000000e-02	4.9999999999999933e-02	0.0000000000000000e+00
NODE 13  	COORD	0.0000000000000000e+00	5.9999999999999942e-02	0.0000000000000000e+00
NODE 14  	COORD	1.0000000000000000e-02	5.9999999999999942e-02	0.0000000000000000e+00
NODE 15  	COORD	0.0000000000000000e+00	6.9999999999999951e-02	0.0000000000000000e+00
NODE 16  	COORD	9.9999999999999985e-03	6.9999999999999951e-02	0.0000000000000000e+00
NODE 17  	COORD	0.0000000000000000e+00	7.9999999999999960e-02	0.0000000000000000e+00
NODE 18  	COORD	1.0000000000000004e-02	7.9999999999999974e-02	0.0000000000000000e+00
NODE 19  	COORD	0.0000000000000000e+00	8.9999999999999969e-02	0.0000000000000000e+00
NODE 20  	COORD	1.0000000000000004e-02	8.9999999999999969e-02	0.0000000000000000e+00
NODE 21  	COORD	0.0000000000000000e+00	9.9999999999999978e-02	0.0000000000000000e+00
NODE 22  	COORD	1.0000000000000002e-02	9.9999999999999978e-02	0.0000000000000000e+00
NODE 23  	COORD	0.0000000000000000e+00	1.0999999999999999e-01	0.0000000000000000e+00
NODE 24  	COORD	1.0000000000000000e-02	1.0999999999999997e-01	0.0000000000000000e+00
NODE 25  	COORD	0.0000000000000000e+00	1.2000000000000000e-01	0.0000000000000000e+00
NODE 26  	COORD	1.0000000000000000e-02	1.2000000000000000e-01	0.0000000000000000e+00
NODE 27  	COORD	0.0000000000000000e+00	1.3000000000000000e-01	0.0000000000000000e+00
NODE 28  	COORD	1.0000000000000004e-02	1.3000000000000000e-01	0.0000000000000000e+00
NODE 29  	COORD	0.0000000000000000e+00	1.4000000000000001e-01	0.0000000000000000e+00
NODE 30  	COORD	1.0000000000000004e-02	1.4000000000000001e-01	0.0000000000000000e+00
NODE 31  	COORD	0.0000000000000000e+00	1.5000000000000002e-01	0.0000000000000000e+00
NODE 32  	COORD	1.0000000000000000e-02	1.5000000000000005e-01	0.0000000000000000e+00
NODE 33  	COORD	0.0000000000000000e+00	1.6000000000000003e-01	0.0000000000000000e+00
NODE 34  	COORD	1.0000000000000000e-02	1.6000000000000006e-01	0.0000000000000000e+00
NODE 35  	COORD	0.0000000000000000e+00	1.6999999999999993e-01	0.0000000000000000e+00
NODE 36  	COORD	1.0000000000000000e-02	1.6999999999999996e-01	0.0000000000000000e+00
NODE 37  	COORD	0.0000000000000000e+00	1.7999999999999994e-01	0.0000000000000000e+00
NODE 38  	COORD	1.0000000000000004e-02	1.7999999999999994e-01	0.0000000000000000e+00
NODE 39  	COORD	0.0000000000000000e+00	1.8999999999999995e-01	0.0000000000000000e+00
NODE 40  	COORD	1.0000000000000004e-02	1.8999999999999995e-01	0.0000000000000000e+00
NODE 41  	COORD	0.0000000000000000e+00	1.9999999999999996e-01	0.0000000000000000e+00
NODE 42  	COORD	1.0000000000000004e-02	1.9999999999999996e-01	0.0000000000000000e+00
NODE 43  	COORD	0.0000000000000000e+00	2.0999999999999996e-01	0.0000000000000000e+00
NODE 44  	COORD	1.0000000000000000e-02	2.0999999999999994e-01	0.0000000000000000e+00
NODE 45  	COORD	0.0000000000000000e+00	2.1999999999999997e-01	0.0000000000000000e+00
NODE 46  	COORD	9.9999999999999985e-03	2.1999999999999995e-01	0.0000000000000000e+00
NODE 47  	COORD	0.0000000000000000e+00	2.2999999999999998e-01	0.0000000000000000e+00
NODE 48  	COORD	1.0000000000000004e-02	2.2999999999999995e-01	0.0000000000000000e+00
NODE 49  	COORD	0.0000000000000000e+00	2.3999999999999999e-01	0.0000000000000000e+00
NODE 50  	COORD	1.0000000000000005e-02	2.3999999999999999e-01	0.0000000000000000e+00
NODE 51  	COORD	0.0000000000000000e+00	2.5000000000000000e-01	0.0000000000000000e+00
NODE 52  	COORD	1.0000000000000004e-02	2.5000000000000000e-01	0.0000000000000000e+00
NODE 53  	COORD	0.0000000000000000e+00	2.6000000000000001e-01	0.0000000000000000e+00
NODE 54  	COORD	1.0000000000000000e-02	2.6000000000000001e-01	0.0000000000000000e+00
NODE 55  	COORD	0.0000000000000000e+00	2.7000000000000002e-01	0.0000000000000000e+00
NODE 56  	COORD	1.0000000000000002e-02	2.7000000000000002e-01	0.0000000000000000e+00
NODE 57  	COORD	0.0000000000000000e+00	2.8000000000000003e-01	0.0000000000000000e+00
NODE 58  	COORD	1.0000000000000004e-02	2.8000000000000003e-01	0.0000000000000000e+00
NODE 59  	COORD	0.0000000000000000e+00	2.9000000000000004e-01	0.0000000000000000e+00
NODE 60  	COORD	1.0000000000000004e-02	2.9000000000000009e-01	0.0000000000000000e+00
NODE 61  	COORD	0.0000000000000000e+00	2.9999999999999993e-01	0.0000000000000000e+00
NODE 62  	COORD	1.0000000000000005e-02	2.9999999999999988e-01	0.0000000000000000e+00
NODE 63  	COORD	0.0000000000000000e+00	3.0999999999999994e-01	0.0000000000000000e+00
NODE 64  	COORD	1.0000000000000000e-02	3.0999999999999989e-01	0.0000000000000000e+00
NODE 65  	COORD	0.0000000000000000e+00	3.1999999999999995e-01	0.0000000000000000e+00
NODE 66  	COORD	1.0000000000000000e-02	3.1999999999999990e-01	0.0000000000000000e+00
NODE 67  	COORD	0.0000000000000000e+00	3.2999999999999996e-01	0.0000000000000000e+00
NODE 68  	COORD	1.0000000000000002e-02	3.2999999999999990e-01	0.0000000000000000e+00
