16
4
2
3
3
2
3
4
4
3
3
4
4
3
2
3
3
2
48
1	 1	 -2.500000e-01
1	 13	 -2.500000e-01
2	 1	 2.500000e-01
2	 2	 -2.500000e-01
2	 14	 -2.500000e-01
3	 2	 2.500000e-01
3	 3	 -2.500000e-01
3	 15	 -2.500000e-01
4	 3	 2.500000e-01
4	 16	 -2.500000e-01
5	 4	 -2.500000e-01
5	 13	 2.500000e-01
5	 17	 -2.500000e-01
6	 4	 2.500000e-01
6	 5	 -2.500000e-01
6	 14	 2.500000e-01
6	 18	 -2.500000e-01
7	 5	 2.500000e-01
7	 6	 -2.500000e-01
7	 15	 2.500000e-01
7	 19	 -2.500000e-01
8	 6	 2.500000e-01
8	 16	 2.500000e-01
8	 20	 -2.500000e-01
9	 7	 -2.500000e-01
9	 17	 2.500000e-01
9	 21	 -2.500000e-01
10	 7	 2.500000e-01
10	 8	 -2.500000e-01
10	 18	 2.500000e-01
10	 22	 -2.500000e-01
11	 8	 2.500000e-01
11	 9	 -2.500000e-01
11	 19	 2.500000e-01
11	 23	 -2.500000e-01
12	 9	 2.500000e-01
12	 20	 2.500000e-01
12	 24	 -2.500000e-01
13	 10	 -2.500000e-01
13	 21	 2.500000e-01
14	 10	 2.500000e-01
14	 11	 -2.500000e-01
14	 22	 2.500000e-01
15	 11	 2.500000e-01
15	 12	 -2.500000e-01
15	 23	 2.500000e-01
16	 12	 2.500000e-01
16	 24	 2.500000e-01
