#nodes 	 #regions 	#procs
28 		 2 		 2 
nodeID  regionID  procID
       0	       0	       0
       1	       0	       0
       2	       0	       0
       3	       0	       0
       7	       0	       0
       8	       0	       0
       9	       0	       0
      10	       0	       0
      14	       0	       0
      15	       0	       0
      16	       0	       0
      17	       0	       0
      21	       0	       0
      22	       0	       0
      23	       0	       0
      24	       0	       0
       3	       1	       0
       4	       1	       0
       5	       1	       0
       6	       1	       0
      10	       1	       0
      11	       1	       0
      12	       1	       0
      13	       1	       0
      17	       1	       0
      18	       1	       0
      19	       1	       0
      20	       1	       0
      24	       1	       0
      25	       1	       0
      26	       1	       0
      27	       1	       0
